X,Y,Layer1
76.5,22.5,5.887491
77.0,22.5,5.9738855
77.5,22.5,6.1668844
78.0,22.5,5.352959
78.5,22.5,5.2119923
79.0,22.5,6.148511
79.5,22.5,6.3352427
80.0,22.5,5.750927
80.5,22.5,4.8607697
81.0,22.5,4.9332542
81.5,22.5,4.6248765
82.0,22.5,4.637574
82.5,22.5,4.84273
83.0,22.5,4.3319445
83.5,22.5,4.824906
84.0,22.5,4.5574
84.5,22.5,4.284153
85.0,22.5,4.374231
85.5,22.5,4.5737314
86.0,22.5,4.589149
86.5,22.5,4.7604733
87.0,22.5,5.3158927
87.5,22.5,5.851088
88.0,22.5,6.34236
88.5,22.5,6.247039
67.5,22.0,7.296152
68.0,22.0,7.0942554
68.5,22.0,6.8777633
69.0,22.0,7.0993953
69.5,22.0,7.085036
70.0,22.0,7.1376963
70.5,22.0,7.16964
71.0,22.0,7.381301
71.5,22.0,7.473607
72.0,22.0,6.8796806
72.5,22.0,6.9299912
73.0,22.0,6.6777396
73.5,22.0,6.597382
74.0,22.0,6.5387063
74.5,22.0,6.5975704
75.0,22.0,6.0982776
75.5,22.0,6.364187
76.0,22.0,6.445597
76.5,22.0,5.9913692
77.0,22.0,5.443035
77.5,22.0,5.505234
78.0,22.0,5.702895
78.5,22.0,6.2478185
79.0,22.0,6.429322
79.5,22.0,6.1624126
80.0,22.0,5.266642
80.5,22.0,4.9189744
81.0,22.0,4.974484
81.5,22.0,4.535274
82.0,22.0,4.76258
82.5,22.0,5.043979
83.0,22.0,4.709771
83.5,22.0,4.71112
84.0,22.0,4.873179
84.5,22.0,4.562633
85.0,22.0,4.2190495
85.5,22.0,4.853011
86.0,22.0,4.9852014
86.5,22.0,4.6300235
87.0,22.0,5.690255
87.5,22.0,6.382548
88.0,22.0,6.6506968
88.5,22.0,6.348548
68.0,21.5,7.150625
68.5,21.5,6.8879404
69.0,21.5,6.89285
69.5,21.5,7.1237936
70.0,21.5,7.1921225
70.5,21.5,7.086335
71.0,21.5,7.3332486
71.5,21.5,7.3395157
72.0,21.5,7.450607
72.5,21.5,7.166176
73.0,21.5,6.8965006
73.5,21.5,7.0565968
74.0,21.5,7.0191727
74.5,21.5,6.4635787
75.0,21.5,6.5819116
75.5,21.5,6.521385
76.0,21.5,6.552811
76.5,21.5,5.471413
77.0,21.5,5.0569243
77.5,21.5,5.838891
78.0,21.5,6.1261625
78.5,21.5,6.122576
79.0,21.5,5.8233843
79.5,21.5,5.835188
80.0,21.5,5.664252
80.5,21.5,4.8067865
81.0,21.5,5.1427197
81.5,21.5,4.957897
82.0,21.5,5.134903
82.5,21.5,5.0781713
83.0,21.5,4.9989038
83.5,21.5,4.967555
84.0,21.5,4.9514513
84.5,21.5,4.6402807
85.0,21.5,4.119048
85.5,21.5,4.569434
86.0,21.5,4.309253
86.5,21.5,5.137871
87.0,21.5,6.2755785
87.5,21.5,6.5902905
88.0,21.5,6.5592556
88.5,21.5,6.1721087
68.5,21.0,7.252006
69.0,21.0,6.9919963
69.5,21.0,7.005854
70.0,21.0,7.265568
70.5,21.0,7.462047
71.0,21.0,7.5456486
71.5,21.0,8.147305
72.0,21.0,7.7937775
72.5,21.0,7.038879
73.0,21.0,7.20598
73.5,21.0,6.8058596
74.0,21.0,7.42789
74.5,21.0,6.647786
75.0,21.0,5.4728346
75.5,21.0,5.851692
76.0,21.0,6.3756466
76.5,21.0,6.2491884
77.0,21.0,6.0712013
77.5,21.0,6.085738
78.0,21.0,6.1429586
78.5,21.0,6.169843
79.0,21.0,6.0781813
79.5,21.0,6.134155
80.0,21.0,5.759257
80.5,21.0,6.091761
81.0,21.0,5.74752
81.5,21.0,5.579448
82.0,21.0,5.5894
82.5,21.0,5.6783957
83.0,21.0,5.1673717
83.5,21.0,5.1615477
84.0,21.0,4.967128
84.5,21.0,4.6555285
85.0,21.0,4.49464
85.5,21.0,4.427244
86.0,21.0,4.9995065
86.5,21.0,5.78654
87.0,21.0,6.6109033
87.5,21.0,6.8059015
